Name,CPAN_Username,Twitter_Username,Website,Photo_URL,Brief_Bio,Presentation_Type,Blocks,Day,Time,Track,Group,Audience_Experience,Title,Public_Description
Jay Hannah,JHANNAH,deafferret,jays.net,https://secure.gravatar.com/avatar/e45a33b946514b3720ca409b3b876f66?s=130&d=identicon,Midwest nerd with way too many hobbies.,Short Talk - 20 minutes,1,2017-06-19,13:30,Knox,Less Code,Any,Civic Hacking: TIF is millions of YOUR tax dollars,"I wrote a thing: The Nebraska TIF Report: http://opennebraska.github.io/pri-tif/

Tax Increment Financing (TIF) is one of those dry, abstract governmental issues that has powerful effects on how we live. TIF was originally conceived to promote economic development in marginalized areas. But is YOUR tax money supporting projects like low-income housing, homeless shelters, and drug rehabilitation clinics? Or are YOUR tax dollars being spent on kickbacks to developers of high income apartments and condos?

I live in Nebraska. I'll show you how we took years of Excel spreadsheets and normalized the data into an SQLite database, and then generated a static website which we hope will help people decide whether or not they're happy with how their tax dollars are being spent.

Maybe you can shine a light on TIF where you live?"
Joel Berger,JBERGER,joelaberger,,https://secure.gravatar.com/avatar/28d0d015d88863cd15e9fd69e0885fc0?s=130&d=identicon,Perl programmer and physicist,Standard Talk - 50 minutes,2,2017-06-19,13:30,Jefferson,Perl Languages & Impl,Beginner,"Variables, Scoping, and Namespaces","Searching for a deeper understanding of variables, scoping, lexicals, packages, and the ""my"", ""our"", and ""local"" keywords."
Doug Bell,PREACTION,preaction,http://preaction.me,https://secure.gravatar.com/avatar/4bdc4922059d58a0fcbf8f35652dc254.png,"Doug is the author of Beam::Wire, maintainer of CPAN Testers, and a zealous advocate for well-designed, object-oriented systems. Doug is using the Beam framework to improve and organize the CPAN Testers data processing system.",Short Talk - 20 minutes,1,2017-06-19,14:00,Madison B,Science & Data,Any,Data Workflows with Beam::Wire,"The biggest problem in a large data processing system is how to organize it: Where are the scripts? Where's the configuration? How can the scripts share code and configuration? How do we turn our ad-hoc data processing scripts into a cohesive data platform?

The Beam framework consists of tools for integrating systems, no matter what Perl libraries you're using. Beam::Wire provides a powerful configuration file for sharing information. Beam::Runner provides organization and discovery for data scripts. And Beam::Minion provides a scalable compute cluster using the Minion task engine. With these tools, you can build a flexible, maintainable data processing system, or start better organizing your existing data processing system."
Joe Kline,gizmo,gizmomathboy,purdue.pl,,Sysadmin at Purdue University and member of Purdue Perl Mongers and Hack Lafayette.,Short Talk - 20 minutes,1,2017-06-19,14:00,Knox,Less Code,Any,To Serve Human,"The code we write changes peoples lives, but we often don't think about our impact as IT professionals. The revolution in job automation is a current example of technological impact on society.

Examples of automation, including self-driving cars and other IT choices, will be discussed to illustrate the need to reflect on the consequences of our work."
Bruce Gray,BGRAY,Util_PM,https://github.com/Util/,https://secure.gravatar.com/avatar/c3ac846bee2ccd350f76bfd268fdbda4?s=130&d=identicon,"I eat, sleep, live, and breathe Perl!

Consultant and Contract Programmer
Frequent PerlMongers speaker
Dedicated Shakespeare theater-goer
Armchair Mathematician
Author of Blue_Tiger, a tool for modernizing Perl.

36 years coding
22 years Perl
16 years Married
15 YAPCs
7 Hackathons
3 PerlWhirls
Perl interests: Refactoring, Perl Idioms / Micropatterns, RosettaCode, and Perl 6.",Standard Talk - 50 minutes,2,2017-06-19,14:30,Madison A,Perl Languages & Impl,Any,"Your Perl 5 brain, on Perl 6","In which I detail the Perl 6 elements that have most changed my Perl 5 coding, and share the Perl 5 techniques I have adopted."
Matt S Trout (mst),MSTROUT,shadowcat_mst,http://shadow.cat/blog/matt-s-trout/,https://pbs.twimg.com/profile_images/672316668/me_400x400.jpg,"Matt S Trout was thrust into Perl at the tender age of seventeen by a backup accident. Two weeks later he realised that he was in love with the language and has been happily using it for systems automation, network, web and database development ever since.

He is co-maintainer of the Catalyst web framework (and co-author of The Definitive Guide to Catalyst), the creator of the DBIx::Class ORM, and a core team member for the Moose metaprotocol and object system, as well as contributing to assorted other CPAN projects.

Matt spends his days leading the technical team at Shadowcat Systems Limited, an open source consultancy specialising in Catalyst, Perl applications deployment and systems architecture. Shadowcat sponsors web, source repository and mailing list hosting for Catalyst, DBIx::Class and a large number of associated projects, and creates and releases open source code both internally and on behalf of its clients. ",Standard Talk - 50 minutes,2,2017-06-19,14:30,Madison B,Polyglot,Any,ES6: Almost an acceptable perl5?,"If you haven't been paying attention to javascript (and I can entirely
understand why you might prefer not to), things have changed quite amazingly
over the last few years.

Ok, they got 'use strict' years ago - but now they've added 'let', which is
basically 'my', anonymous function declaration syntax that won't give you
RSI, a class keyword, and more.

Plus annotations now let you make all sorts of trouble, and the tooling to
transpile to Olde JS is mostly comprehensible and no longer replaced by
something completely different every two weeks.

So, clearly, the only sensible thing to do was to try and write ES6 in the
same style I write perl5, and see how far I managed to get.

Come to this talk and you'll find out."
Mark Prather,trg404,trg404,,,"Scrum Master, Dilettante, Open Source Comedian,  Trog about Town.",Standard Talk - 50 minutes,2,2017-06-19,14:30,Knox,Less Code,Beginner,How to Automate your Scrum Team,"Writing scripts to get rid of the worst parts of the Scrum Team, the programmers. "
Raja Renga Bashyam,,rajawebstars,kg.webstarscg.com`,,"A Perl Artist, Web App Developer & Web Designer from Indian Subcontinent.  More than a decade of friendship with Perl to solve challenges of various kinds in computing. Working on a comprehensive reporting frame work and regular expression based action system in Perl.",Standard Talk - 50 minutes,2,2017-06-19,14:30,Jefferson,Whatever,Any,Kangiten PDF-Writer (PDF-Reuse + Reduce & Recycle) - a PDF Document Creator for Structured Content,"Kangiten will produce PDF documents based on PDF-Resuse module. It will reduce inline manual format instructions by a structured HoH bulk input. Kangiten produces the document in a two stage way.   Creation of structure first than filling the content. The two way method will help to reuse the structure in similar needs and recycle the structure to meet minor variation.

During implementation of a billing solution for Advertising Agency, we have requirements to produce PDF documents with six different structures and the document structure shared by 3 different legal entities with minor variations. It has the usual Estimate – Purchase Order -> Invoice with Detail, Rate, Qty and Amount with varied additional columns for Print Media and A/V works. Mainly we looked for a PDF library with:

1.        Ability to tailor build the document
2.        A module that gives production control in pixel level
3.        Flexible options to set page properties
4.        Option to implement images/signatures
5.        Position control to handle page continuation

After a lengthy search, we finally zeroed in PDF-Reuse module. It did not have user friendly function wraps for graphical output, but it offered a developer friendly core functions to control the graphical output in a pixel level. It helped to wrap our custom functions to handle in generic way.

Map to Reuse, Reduce & Recycle

One of PDF:: Reuse’s main advantage is that it can take an existing PDF - something that our designers can create with their standard PDF tools and then all we have to do is add the various content details to it. The feature of reusing the existing PDF and writing content over that, helped to reuse the existing legal entity letter pads in specific company document production.  It's avoided manual graphic production work.

Instead of line by line manual instruction to write and format, we used a structured bulk input to create structure with format need and fill the content.  The PDF::Reuse core function mapped to input data.

The document classified into three major parts:

1.        The page layout and page background
2.        Header
3.        Content

Each input will take the communication in HoH structure.

A simple structure to produce one line seems like:

    # Data structure input for produce one liner output
    # base structure
    my $print_data = {
        0 => {
            left_xaxis  => 250,     # print start x position
            line_height => 25,
            # column definition
            header => {
                # define the first (and only) column
                0 => {
                    font      => 'Helvetica-Bold',
                    font_size => 12,
                },
            },
            # insert the data
            data => [['Production Estimate']],
        },
     };

The same structure can be reused to similar needs and adjusted to minor variations and duplicated to continuous need.  Based on the structure it will produce single row & multiple row contents.  It's continuously evolved to meet real time needs. Some of the features like  header continuation to new pages,  table header to new pages, auto compress the document size  added incrementally.

Started from  billing solution, now it helps in many of our PDF document productions needs. Now it's available in public.

https://github.com/WebstarsCG/Kangiten-PDF-Writer

In this talk, I will share the tools inner components,  existing use cases and a short hands-on implementation on structured way of document generation to achieve Reuse Structure, Reduce Code & Development Time  & Recycle the structures to meet variations.


"
Sawyer X,XSAWYERX,PerlSawyer,http://www.blogs.perl.org/users/sawyer_x,https://secure.gravatar.com/avatar/f2bdad6d5883044b9d3c88e50f957bfc?s=130&d=http%3A%2F%2Fwww.gravatar.com%2Favatar%2Ff2bdad6d5883044b9d3c88e50f957bfc%3Fs%3D130%26d%3Didenticon,"A person incapable of providing a simple, clear Bio.",Standard Talk - 50 minutes,2,2017-06-19,17:00,ALL,Keynote,Any,Perl 5.26 and the Blue-Blue Shiny Ball of Eternal Transparency,"By the time you sit down for this talk, Perl 5.26 has already been released onto an unsuspecting human world. This talk should - hopefully - cover enough of what Perl 5.26 has to offer you."
Josh Lavin,digory,jdigory,,https://pbs.twimg.com/profile_images/745063012248096768/pctclbMW.jpg,Still pleasantly surprised by Perl after 15 years.,Standard Talk - 50 minutes,2,2017-06-19,09:30,Madison A,Perl Languages & Impl,Beginner,What is Modern Perl?,"What makes some Perl ""modern"" and other Perl not? 

We'll look at how Modern Perl is defined by various folks, what mindsets and toolsets one uses to write ""Modern Perl"", and why we should care."
"Curtis ""Ovid"" Poe",Ovid,OvidPerl,https://allaroundtheworld.fr/,https://secure.gravatar.com/avatar/7f633daa0796788b31b868b5ffe98157?s=130&d=identicon,"I'm Curtis ""Ovid"" Poe, the CTO of All Around the World, a consulting firm specializing in Perl. I sit on the board of directors of The Perl Foundation and have written or co-written two books on Perl. I've also written or hacked on many of the testing tools you use on a daily basis and am a prolific CPAN author.",Standard Talk - 50 minutes,2,2017-06-19,09:30,Madison B,Science & Data,Intermediate,Modeling a Universe in Perl,"With Tau Station, we're building a sci-fi universe in a browser. However, in object oriented design, what does the ""single responsibility principle"" mean when your combat armor serves as armor, a weapon, and medkit?

And when many different behaviors have long chains of duplicated requirements (for example, do you have enough money to buy a medkit, or refuel your ship, or repair your blaster, or bribe a guard), how do you handle that in an efficient an easy to read manner?

And how do you avoid god objects when your character in the universe drives almost everything?

This talk explores some of the techniques we've developed for the Tau Station to easily model complex behaviors."
David Golden,dagolden,xdg,http://www.dagolden.com/,https://secure.gravatar.com/avatar/bb755c989fcb9897f28a2c6e00df61e2?s=130&d=identicon,"David Golden wears many hats in the Perl community. In his day job, he works at MongoDB, where he maintains the MongoDB Perl and C++ drivers.",Standard Talk - 50 minutes,2,2017-06-19,09:30,Knox,"Test, Debug, Optimize",Intermediate,Real World Optimization,"This case study gives an inside look at optimization of the MongoDB Perl driver, including custom benchmarking tools, step-by-step changes and results that will surprise and amaze.  If you ever needed to optimize some Perl and wondered how people go about it, this talk is for you."
Mickey Nasriachi,MICKEY,0xMickey,,https://secure.gravatar.com/avatar/2856801db33bf0d83f83ac9ab4826f28,Perl hacker for fun and profit. Member of both MetaCPAN and Dancer2 core development teams.,Standard Talk - 50 minutes,2,2017-06-19,09:30,Jefferson,Infrastructure & Ecosystem,Any,MetaCPAN: The Grand Tour,Come learn about the ins and outs of MetaCPAN. We'll take a fun tour around the website and the API to show how it works and what it provides. Warning - you will learn new things!
Dylan Hardison,dhardison,dylan_hardison,https://dylan.hardison.net,https://secure.gravatar.com/avatar/f1e97c36b85bc16d6aae7f316cef6d2f?s=130&d=identicon,I'm the team lead / owner of bugzilla.mozilla.org and also an assistant project lead for the bugzilla project. ,Standard Talk - 50 minutes,2,2017-06-20,10:30,Madison A,Whatever,Intermediate,Content Security Policies: Sort of like firewall rules for the web,"In this talk I'll describe how I managed to retrofit CSP onto a 19 year old application, the tools and tricks I used, and how you can do the same for existing perl applications. "
Thomas Sibley,TSIBLEY,trs,tsibley.net,https://secure.gravatar.com/avatar/a09cbdbd4c85618a83795f01f7d217af?s=130&d=identicon,I’m a software developer in a University of Washington microbiology lab despite my Geology degree. I still like rocks though and not just in my Old Fashioned.,Standard Talk - 50 minutes,2,2017-06-20,10:30,Madison B,Science & Data,Any,Last mile software development: writing modern software for bench scientists,"This talk will focus on the need for, process of, and impact of developing custom software and data systems for scientists.  My aim is to give you a glimpse into the rewarding world of software in science by drawing from concrete examples in own my experience of building systems using Perl, Python, JavaScript, Elm, and many other languages.  For over three years now I've been the staff programmer in a biology research lab at the University of Washington, and I'll share what I've learned along the way after making the jump from commercial software development.

Interested in learning more about software in science?  This talk is for you!

Do startups excite you?  A science research lab has more in common with a startup than you might think!

Enjoy learning new domain knowledge to get your job done?  Biology is fascinating and amazing!"
Chad Granum,Exodist,,,https://secure.gravatar.com/avatar/f2f0a874b3c91ec888bbc845c31f5cf5?s=130&d=identicon,"Maintainer of Test::More, Test2, Child.pm, etc.",Standard Talk - 50 minutes,2,2017-06-20,10:30,Knox,"Test, Debug, Optimize",Any,Testing with Test2,"Learn how to write tests with Test2. Learn effective practices, and helpful techniques. This talk is useful for beginners and experienced testers alike. After this talk you will be able to write new tests using pure Test2 based tools. You should come away from this talk excited about how Test2 can help make testing easier and more fun."
Doug Bell,PREACTION,preaction,http://preaction.me,https://secure.gravatar.com/avatar/4bdc4922059d58a0fcbf8f35652dc254.png,"I've built logging systems for tiny web apps and big data warehouse platforms. I've used every major Perl logging platform on CPAN, and am the current maintainer of Log::Any. Detailed logging is how I show operations teams I care.",Standard Talk - 50 minutes,2,2017-06-20,10:30,Jefferson,Infrastructure & Ecosystem,Beginner,Logging for Systems from Tiny to Big,"This talk is about adding logging and reporting to your Perl project. Every program, from the smallest script to the largest distributed platform needs to tell you what's going on inside, even if only temporarily. I'll go through how to add logging and reporting to scripts to aid debugging and enable problem analysis. I'll explain how different logging can be used for different purposes, show how the Log::Any module makes it easy to add a basic logging system powerful enough for most common cases, and go through some different ways to transmit and store logs for later exploration and reporting (like Syslog and ElasticSearch)."
David Farrell,dfarrell,perltricks,www.perltricks.com,,"David is the founder and editor of PerlTricks.com. An organizer of the New York Perl Meetup, he works as a programmer for ZipRecruiter.",Short Talk - 20 minutes,1,2017-06-20,11:30,Madison A,Whatever,Any,What's new on CPAN - Annual Edition,What's new on CPAN is a monthly perltricks.com article that presents a curated list of new distributions uploaded to CPAN. This talk will be a whirlwind review of the last 12 months of new CPAN uploads - the good stuff. Come on down and find out what exciting new code is available on CPAN for your programming pleasure!
Brian Duggan,bduggan,bdmatatu,,https://avatars1.githubusercontent.com/u/58956,"Brian has been an open source software author for over 20 years.  His interests include math, chess, linked data, and writing code in Perl 5 and 6.",Short Talk - 20 minutes,1,2017-06-20,11:30,Madison B,Perl Languages & Impl,Any,Extending Perl 6 Command Line Argument Parsing using Metaprogramming,"Perl 6 has amazing built-in features for writing command-line utilities.  But sometimes even those aren't enough.  In this talk, we push it further to allow features such as subcommands, command-specific help and interleaved positional and named arguments.  We use metaprogramming to look up dispatch tables for multi-candidates, scrutinize signatures, and query POD declarator blocks.  We show how integration with command line argument parsing is a practical application of Perl 6's rich meta-object protocol."
Liam McNerney,,,,,"I'm an East Coast native currently living in the Great Plains.  I became a developer about twelve years ago working on mainframe applications in COBOL; since then I've done stints as a freelance web designer, backend developer, and for several years taught computer science at a small university.  I'm now a Perl developer acting as technical lead for an Enterprise application.",Short Talk - 20 minutes,1,2017-06-20,11:30,Knox,Whatever,Any,Thrown in the Deep End: Learning to Swim with  Perl,"In 2012 I was freelancing as a PHP/MySQL developer and knew practically nothing about Perl.  I took a PHP job with a company and, within two weeks, was writing Perl code for an enterprise application.  This talk discusses my experience getting thrown in the deep end and learning to love Perl."
Graham Ollis,plicease,plicease,http://perl.wdlabs.com,https://secure.gravatar.com/avatar/0640fb1c0a5e82f5a777f2306efcac77?s=130&d=identicon,Perl Nerd,Short Talk - 20 minutes,1,2017-06-20,11:30,Jefferson,Infrastructure & Ecosystem,Intermediate,Thriving in Alien Ecosystems,"Alien is a technique for implementing external non-Perl dependencies for CPAN, improving reliability and usability of the Perl ecosystem.  I will show off some new tech in this arena including alienfile and Alien::Build demonstrate how they fit in and improve existing infrastructure like Alien::Base and MakeMaker."
Walt Mankowski,,,,,"Walt works as a postdoc at Drexel University, where we use high-end computer gaming hardware, combined with techniques from information theory, machine learning, and computer vision, to assist biologists in processing and visualizing terabytes of 2D and 3D microscope images. In his spare time he helps organize the Philadelphia Perl Mongers and the Philadelphia Linux Users Group.",Standard Talk - 50 minutes,2,2017-06-20,13:30,Madison A,Perl Languages & Impl,Any,Perl One-Liners,"One-liners aren't just for gurus and obfuscated Perl contests. Anyone can learn a few simple command-line switches and become more productive. If you're new to Perl, you'll be amazed at how much you can accomplish in under 80 characters. Even if you already write the occasional one-liner in Perl, chances are you're not taking advantage of all the tricks and shortcuts you could be. You too can become a command-line ninja!"
Andrew Grangaard,spazm,spazm,lowlevelmanager.com,https://secure.gravatar.com/avatar/aafb7d92ceb530f26fe34843a70d1265?s=130&d=identicon,"Perl-loving polyglot Engineer.  I fix things.  Former Electrical Engineer, now I write software.   la.pm.org nerd-herder for a decade.    I've used perl for forever (I remember grumpily updating perl4 code for perl5 semantics).  After a 6 year python diversion I'm back writing perl at ZipRecruiter.",Standard Talk - 50 minutes,2,2017-06-20,13:30,Madison B,Polyglot,Any,Adventures in Failure: Error handling culture across languages,"Modern programming languages have a wide spectrum of error handling methods and related cultural expectations.   

I'll lead you on a brief tour of various error handling patterns and paradigms and their strengths and failings.  As a polyglot dabbler, I've done just enough with each of these languages to have formed cranky opinions.

By the end, we'll have new patterns to apply to our perl code (be in perl5 or perl6).

Compare and contrast:

* C inspired return values in C, perl5 and go
* Java vs Python exceptions
* Erlang: ""let it crash"" approach,  
* Rust: Failure vs Panic 
* monadic:  Rust Option and Haskell Maybe.
* pattern matching
* whatever it is that perl6 does ;)


"
William Morriss,,thesid2011,http://www.frostbrowntodd.com/professionals-william_morriss.html,https://pbs.twimg.com/profile_images/810686712598827008/peMPeUGc_400x400.jpg,"William is a member of the law firm of Frost Brown Todd LLC, practicing in the firm’s Cincinnati office.  He has a degree in computer science and his practice focuses particularly on the law and computer software.  Since joining the Firm, William has represented inventors seeking to obtain protection for software implemented inventions before the United States Patent and Trademark Office; has represented businesses and individuals in patent infringement litigation, both in defending against allegations of infringement, and in enforcing patents against accused infringers, and has assisted clients in business transactions which include software, both in negotiating and drafting contracts, and in performing due diligence review of agreements in the context of potential acquisitions, including the review for a $335 million acquisition. 
William has invented technology for open source license management (U.S. Pat. 8,589,306) and designed software that he uses in representing clients before the U.S. Patent Office. He also performs pro-bono legal services through Volunteer Lawyers for the Poor, is an expert chess player and a black belt in Aikido. ",Standard Talk - 50 minutes,2,2017-06-20,13:30,Knox,Less Code,Any,Intellectual property and open source licensing basics,"This talk will cover the basics of intellectual property law as it relates to software development, focusing on how it works (or doesn't) to facilitate code reuse through open source licensing. This session will explain the differences between patents, copyrights, trademarks and trade secrets, and illustrate how those legal tools can be applied to a piece of software to achieve different business goals. It will also discuss common open source licenses, and explain the legal consequences those licenses have for software development and commercialization."
Brad Lhotsky,BLHOTSKY,reyjrar,https://edgeofsanity.net,https://secure.gravatar.com/avatar/8d96f5c273062cb617255e630fe0705c.png,Brad Lhotsky programs Perl and throws large amounts of data into PostgreSQL databases and ElasticSearch indexes in search of meaning. He often ponders why security is seen as a roadblock to development and operations while trying ever so hard to automate himself out of a job. Brad has over 15 years of experience in operations and development and is currently automating security and operations at Craigslist with Perl.,Standard Talk - 50 minutes,2,2017-06-20,13:30,Jefferson,Infrastructure & Ecosystem,Any,Finding Meaning in Your Operational Data,Reflections and dives into some concepts and technologies for use with your operational data.  What do I mean by operational data?  Great question! We'll talk about that and how to use and what technologies you can use in this space to get great value.  After the talk you should have a better understanding of what it means to run your application in an observable manner.
David Oswald,davido,doswaldcal,http://slcperlmongers.com,https://secure.gravatar.com/avatar/107367e63538420fd194b97d22d2c9a0?s=130&d=identicon,"Organizer of Salt Lake City Perl Mongers, and co-organizer of the previous two YAPC::NA events. Past speaker at various Perl Mongers groups, OpenWest, SaintCON, and YAPC.  I work at Endurance International Group / Bluehost in the Platform & Infrastructure group.",Standard Talk - 50 minutes,2,2017-06-20,14:30,Madison A,Perl Languages & Impl,Intermediate,Spilling the @INC,"@INC is typically just a list of paths whence modules are loaded.  But that's not ALL it is.  To misquote Lord Acton: Power corrupts. Absolute power is fun.  Once we embrace the power (or dismiss our better judgement), manipulating @INC can be fairly useful. Let's have some fun exploring the power of @INC while trying not to stain ourselves."
